City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
250,El Campo,US,29.1966,-96.2697,78.89,83,1,5.17,clear sky
251,Katsuura,JP,35.1333,140.3,70.2,86,99,16.62,overcast clouds
252,Tiksi,RU,71.6872,128.8694,39.15,76,100,9.91,overcast clouds
253,Odda,NO,60.0691,6.5457,73.78,56,54,12.66,broken clouds
254,Kushmurun,KZ,52.4503,64.6311,69.13,48,43,21.34,scattered clouds
255,Darhan,MN,49.4867,105.9228,64.71,38,0,3.04,clear sky
256,Cidreira,BR,-30.1811,-50.2056,62.89,67,2,6.89,clear sky
257,Siguiri,GN,11.6667,-9.5,105.93,22,76,2.8,broken clouds
258,Sao Filipe,CV,14.8961,-24.4956,74.44,78,99,8.75,overcast clouds
259,Saint-Augustin,CA,51.226,-58.6502,54.95,63,76,8.52,broken clouds
260,Aksarka,RU,66.5606,67.7975,41.52,48,87,14.32,overcast clouds
261,Ust-Omchug,RU,61.15,149.6333,41.81,84,100,0.25,light rain
262,Qaanaaq,GL,77.484,-69.3632,28.29,74,98,4.09,overcast clouds
263,Jacqueville,CI,5.2052,-4.4146,87.71,75,11,10.4,few clouds
264,Boyuibe,BO,-20.4167,-63.2833,62.51,52,59,4.54,broken clouds
265,Phalaborwa,ZA,-23.943,31.1411,72.68,48,58,14.47,broken clouds
266,Springdale,US,36.1867,-94.1288,66.31,95,1,4.18,mist
267,San Patricio,US,28.017,-97.5169,77.09,87,100,10.0,overcast clouds
268,Catamarca,AR,-28.4696,-65.7852,69.78,66,0,4.0,clear sky
269,Synya,RU,65.3718,58.0387,53.89,43,38,9.31,scattered clouds
270,Ilo,PE,-17.6394,-71.3375,63.46,77,90,0.0,overcast clouds
271,Havre-Saint-Pierre,CA,50.2334,-63.5986,57.56,62,90,3.44,overcast clouds
272,Whyalla,AU,-33.0333,137.5833,55.29,82,90,6.91,overcast clouds
273,Haines Junction,CA,60.7522,-137.5108,41.77,87,100,6.04,overcast clouds
274,Nizwa,OM,22.9333,57.5333,110.39,7,0,1.66,clear sky
275,Matara,LK,5.9485,80.5353,80.04,84,42,10.65,scattered clouds
276,Kudahuvadhoo,MV,2.6708,72.8944,83.59,73,99,16.8,overcast clouds
277,Umm Lajj,SA,25.0213,37.2685,84.65,62,0,15.17,clear sky
278,Burns Lake,CA,54.2331,-125.7533,40.42,84,100,4.59,overcast clouds
279,Rozivka,UA,46.9385,35.7724,65.43,64,100,8.81,overcast clouds
280,Cayenne,GF,4.9333,-52.3333,82.44,89,75,5.99,heavy intensity rain
281,Qom,IR,34.6401,50.8764,104.74,6,0,10.22,clear sky
282,Kulhudhuffushi,MV,6.6221,73.07,83.14,77,100,16.8,overcast clouds
283,Oparino,RU,59.8518,48.2783,64.33,37,6,9.4,clear sky
284,Singaraja,ID,-8.112,115.0882,80.02,83,100,7.67,overcast clouds
285,Yulara,AU,-25.2406,130.9889,55.24,62,99,9.22,overcast clouds
286,Meiganga,CM,6.5167,14.3,85.33,46,49,3.58,scattered clouds
287,La Ronge,CA,55.1001,-105.2842,57.45,77,75,3.44,broken clouds
288,Cam Ranh,VN,11.9214,109.1591,84.16,65,20,7.49,few clouds
289,Vardo,NO,70.3705,31.1107,71.35,62,0,10.36,clear sky
290,San Felipe,VE,10.3399,-68.7425,77.11,84,94,3.62,overcast clouds
291,Warrington,GB,53.3925,-2.5802,72.27,79,75,3.0,broken clouds
292,Grindavik,IS,63.8424,-22.4338,48.56,93,90,27.65,light rain
293,Kakrala,IN,27.9,79.2,99.9,22,4,7.58,clear sky
294,Itoman,JP,26.1247,127.6694,82.78,94,75,17.27,broken clouds
295,North Bend,US,43.4065,-124.2243,58.86,91,90,8.05,overcast clouds
296,Carutapera,BR,-1.195,-46.02,86.05,65,9,7.78,clear sky
297,Sosnogorsk,RU,63.6023,53.8817,61.59,33,0,10.04,clear sky
298,Harbour Breton,CA,47.4833,-55.7983,49.53,82,60,6.89,broken clouds
299,Sfantu Gheorghe,RO,45.8667,25.7833,61.93,75,100,1.01,overcast clouds
300,Copacabana,CO,6.3463,-75.5089,75.0,79,99,2.19,overcast clouds
301,Leh,IN,34.1667,77.5833,53.4,53,93,5.37,overcast clouds
302,Hammerfest,NO,70.6634,23.6821,66.65,39,0,6.91,clear sky
303,Cleethorpes,GB,53.5605,-0.0323,72.99,84,81,7.27,broken clouds
304,Elblag,PL,54.1522,19.4088,69.55,58,81,6.44,broken clouds
305,Buraydah,SA,26.326,43.975,113.45,6,7,11.54,clear sky
306,Ahipara,NZ,-35.1667,173.1667,52.23,81,37,2.42,scattered clouds
307,Bintulu,MY,3.1667,113.0333,84.61,88,20,1.99,few clouds
