City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
278,Hofn,IS,2021-05-31 21:03:10,64.2539,-15.2082,46.08,84,47,4.32
279,Fremont,US,2021-05-31 21:02:58,37.5483,-121.9886,103.37,38,1,7.81
280,Pangody,RU,2021-05-31 21:04:54,65.85,74.4859,39.16,55,17,6.76
281,Bafq,IR,2021-05-31 21:04:54,31.6128,55.4107,87.89,9,0,4.03
282,Villa Carlos Paz,AR,2021-05-31 21:04:55,-31.4241,-64.4978,67.89,47,10,8.01
283,Georgetown,MY,2021-05-31 21:04:55,5.4112,100.3354,78.89,90,40,2.71
284,Andreapol,RU,2021-05-31 21:04:55,56.6513,32.2664,41.11,69,65,2.95
285,Beyneu,KZ,2021-05-31 21:04:56,45.3167,55.2,72.54,56,2,9.31
286,Chicama,PE,2021-05-31 21:04:56,-7.8447,-79.1469,72.19,70,98,9.15
287,Aksarayskiy,RU,2021-05-31 21:04:56,46.7924,48.0119,67.98,56,40,8.01
288,Xico,MX,2021-05-31 21:04:57,19.2667,-98.9333,84.0,35,72,2.08
289,Sur,OM,2021-05-31 21:04:57,22.5667,59.5289,93.81,34,18,15.26
290,Kaifeng,CN,2021-05-31 21:04:58,34.7911,114.3483,69.6,65,100,6.04
291,Luderitz,NA,2021-05-31 21:04:58,-26.6481,15.1594,58.8,70,0,22.06
292,Redmond,US,2021-05-31 21:02:12,47.674,-122.1215,82.8,45,90,1.99
293,Sovetskiy,RU,2021-05-31 21:04:59,61.3614,63.5842,38.59,62,3,4.65
