City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
288,Cam Ranh,VN,84.16,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
289,Vardo,NO,71.35,clear sky,70.3705,31.1107,Vardø Hotel AS
290,San Felipe,VE,77.11,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
291,Warrington,GB,72.27,broken clouds,53.3925,-2.5802,Patten Arms Hotel
294,Itoman,JP,82.78,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
300,Copacabana,CO,75.0,overcast clouds,6.3463,-75.5089,Hospedaje Brazil
303,Cleethorpes,GB,72.99,broken clouds,53.5605,-0.0323,Comat Hotel
307,Bintulu,MY,84.61,few clouds,3.1667,113.0333,900 Boutique INN
309,Olbia,IT,82.45,few clouds,40.9214,9.4856,Hotel Centrale Olbia
313,Culebra,PR,84.29,overcast clouds,18.303,-65.301,Palmetto Guesthouse
318,Esil,KZ,80.19,scattered clouds,51.9556,66.4042,Egorkino Hotel
319,Mpika,ZM,74.32,broken clouds,-11.8343,31.4529,Melodies Lodge
320,Panaba,MX,81.81,clear sky,21.2833,-88.2667,Posada rosario
324,Sirajganj,BD,84.81,few clouds,24.45,89.7167,Sourav talukder
326,Fare,PF,79.93,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
331,Naze,JP,75.56,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
332,Tura,IN,73.78,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
338,Khandbari,NP,73.65,scattered clouds,27.3747,87.2039,Sainik Hotel And Lodge
341,Cottonwood,US,82.31,broken clouds,34.7392,-112.0099,Pines Inn & Suites
344,Cabo San Lucas,MX,84.4,clear sky,22.8909,-109.9124,Tesoro Los Cabos
345,Faanui,PF,80.28,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
346,Tecoanapa,MX,82.35,broken clouds,16.5167,-98.75,Hotel Manglares
350,Namibe,AO,83.03,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
352,Kadirli,TR,75.0,clear sky,37.3739,36.0961,Karatepe Park Otel
353,Ishigaki,JP,83.41,clear sky,24.3448,124.1572,Hotel Peace Land Ishigakijima
354,Las Varas,MX,82.58,overcast clouds,21.1667,-105.1667,Casa Palapas
359,Port-Gentil,GA,84.16,broken clouds,-0.7193,8.7815,Fengshui Residence
361,Sehithwa,BW,73.18,clear sky,-20.4667,22.7167,MONLEK GUEST HOUSE
362,Kerema,PG,78.21,heavy intensity rain,-7.9631,145.7785,Frena Lodge
372,Lebrija,ES,83.08,scattered clouds,36.9208,-6.0753,Hostal Mellizo
379,Grong,NO,79.88,broken clouds,64.4654,12.3149,Grong Farm and Guesthouse
385,Altea,ES,78.37,broken clouds,38.5989,-0.0514,Albir Playa Hotel & Spa
388,Hanover,DE,81.25,few clouds,52.3705,9.7332,Central Hotel Kaiserhof
390,Bima,ID,75.94,broken clouds,-8.4667,118.7167,Lambitu Hotel
